date,temperature_2m,relative_humidity_2m,precipitation,rain,surface_pressure,cloud_cover,visibility,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_10cm,soil_temperature_10_to_35cm
2024-03-18 00:00:00+00:00,20.296,75.0,0.0,0.0,976.7037,36.0,12400.0,13.32,194.0,23.946,30.146
2024-03-18 01:00:00+00:00,22.496,63.0,0.0,0.0,976.6611,16.0,13540.0,15.119999,187.0,23.896,29.946
2024-03-18 02:00:00+00:00,24.846,54.0,0.0,0.0,976.8242,0.0,15180.0,14.759999,183.0,24.646,29.896
2024-03-18 03:00:00+00:00,27.546,43.0,0.0,0.0,976.5377,0.0,16520.0,15.84,180.0,25.896,29.746
2024-03-18 04:00:00+00:00,29.396,37.0,0.0,0.0,976.4458,0.0,17040.0,17.28,182.0,27.246,29.746
2024-03-18 05:00:00+00:00,31.046,30.0,0.0,0.0,975.94293,0.0,17300.0,18.72,186.0,28.546,29.746
2024-03-18 06:00:00+00:00,30.846,32.0,0.0,0.0,975.8254,0.0,17720.0,18.359999,181.0,29.396,29.646
2024-03-18 07:00:00+00:00,32.096,28.0,0.0,0.0,974.7951,0.0,18140.0,19.44,187.0,30.896,29.746
2024-03-18 08:00:00+00:00,32.146,28.0,0.0,0.0,974.70355,0.0,18300.0,21.24,181.0,31.746,29.746
2024-03-18 09:00:00+00:00,31.296,30.0,0.0,0.0,974.90497,0.0,18180.0,22.319998,173.0,32.146,29.746
2024-03-18 10:00:00+00:00,29.796,33.0,0.0,0.0,975.4241,0.0,17920.0,23.039999,164.0,31.946,29.896
2024-03-18 11:00:00+00:00,27.746,38.0,0.0,0.0,975.979,0.0,17500.0,19.44,154.0,31.546,29.896
2024-03-18 12:00:00+00:00,26.946,41.0,0.0,0.0,977.82684,0.0,16960.0,19.44,148.0,31.146,29.746
2024-03-18 13:00:00+00:00,26.146,43.0,0.0,0.0,978.8037,0.0,16700.0,22.68,141.0,30.246,29.746
2024-03-18 14:00:00+00:00,25.196,47.0,0.0,0.0,978.9902,0.0,16400.0,16.919998,148.0,29.546,29.746
2024-03-18 15:00:00+00:00,24.146,50.0,0.0,0.0,979.16455,0.0,16080.0,14.759999,159.0,28.746,29.746
2024-03-18 16:00:00+00:00,22.996,57.0,0.0,0.0,979.6167,0.0,15200.0,25.56,133.0,27.946,29.646
2024-03-18 17:00:00+00:00,21.846,62.0,0.0,0.0,979.87494,0.0,14540.0,26.64,126.0,27.246,29.646
2024-03-18 18:00:00+00:00,20.446,67.0,0.0,0.0,980.29663,0.0,13860.0,26.64,126.0,26.546,29.546
2024-03-18 19:00:00+00:00,19.196,71.0,0.0,0.0,980.3474,0.0,13180.0,27.0,128.0,25.646,29.546
2024-03-18 20:00:00+00:00,18.296,72.0,0.0,0.0,980.53406,0.0,12880.0,26.28,127.0,24.896,29.396
2024-03-18 21:00:00+00:00,17.496,72.0,0.0,0.0,981.2145,0.0,12920.0,25.199999,129.0,24.146,29.246
2024-03-18 22:00:00+00:00,16.796,73.0,0.0,0.0,981.906,0.0,12760.0,24.48,126.0,23.246,29.246
2024-03-18 23:00:00+00:00,16.746,72.0,0.0,0.0,982.3835,0.0,12960.0,25.919998,122.0,22.646,29.146
2024-03-19 00:00:00+00:00,18.996,62.0,0.0,0.0,983.5133,28.0,14620.0,28.8,116.0,22.646,28.946
2024-03-19 01:00:00+00:00,20.996,57.0,0.0,0.0,983.742,91.0,15180.0,30.960001,109.0,22.896,28.896
2024-03-19 02:00:00+00:00,23.346,51.0,0.0,0.0,983.8131,36.0,15900.0,30.599998,107.0,23.546,28.746
2024-03-19 03:00:00+00:00,25.196,47.0,0.0,0.0,983.6317,33.0,16400.0,30.599998,105.0,24.546,28.746
2024-03-19 04:00:00+00:00,26.946,41.0,0.0,0.0,983.14636,16.0,16900.0,29.88,105.0,25.646,28.646
2024-03-19 05:00:00+00:00,28.246,36.0,0.0,0.0,982.6102,0.0,17260.0,29.16,104.0,26.896,28.646
2024-03-19 06:00:00+00:00,28.446,36.0,0.0,0.0,982.632,0.0,17340.0,27.359999,100.0,27.146,28.546
2024-03-19 07:00:00+00:00,28.746,35.0,0.0,0.0,981.6001,19.0,17680.0,26.64,105.0,28.146,28.546
2024-03-19 08:00:00+00:00,27.896,37.0,0.0,0.0,981.70197,83.0,17720.0,27.72,104.0,28.746,28.546
2024-03-19 09:00:00+00:00,26.896,40.0,0.0,0.0,982.0773,0.0,17560.0,27.72,102.0,28.746,28.546
2024-03-19 10:00:00+00:00,26.096,41.0,0.0,0.0,982.6669,0.0,17200.0,25.56,100.0,28.646,28.546
2024-03-19 11:00:00+00:00,24.646,44.0,0.0,0.0,983.2809,25.0,16780.0,24.119999,100.0,28.146,28.546
2024-03-19 12:00:00+00:00,23.796,52.0,0.0,0.0,984.2499,33.0,15840.0,26.64,95.0,28.546,28.546
2024-03-19 13:00:00+00:00,22.746,56.0,0.0,0.0,984.8093,23.0,15340.0,24.84,93.0,27.746,28.546
2024-03-19 14:00:00+00:00,21.846,58.0,0.0,0.0,985.1914,50.0,15080.0,23.759998,87.0,26.946,28.546
2024-03-19 15:00:00+00:00,21.346,59.0,0.0,0.0,985.3282,75.0,14980.0,24.84,83.0,26.396,28.546
2024-03-19 16:00:00+00:00,20.646,61.0,0.0,0.0,985.4419,44.0,14720.0,26.28,79.0,25.746,28.396
2024-03-19 17:00:00+00:00,19.696,64.0,0.0,0.0,985.1399,39.0,14320.0,25.919998,83.0,24.946,28.396
